Edition ID,Series Code,Year,Edition Name,Start Date,End Date,City,Region/Country,Venue,Event URL,Status,Last Verified
AOAC-2027,AOAC,2027,2027 AOAC INTERNATIONAL Annual Meeting & Exposition,2027-08-27,2027-09-01,Toronto,"Ontario, Canada",Sheraton Centre Toronto Hotel,https://www.aoac.org/events/2027-aoac-international-annual-meeting-exposition/,Confirmed,2026-09-11
ACS-SPRING-2027,ACS-SPRING,2027,ACS Spring 2027,2027-03-21,2027-03-25,New Orleans,"Louisiana, USA",,https://www.acs.org/events/spring.html,Confirmed,2026-09-11
ACS-FALL-2027,ACS-FALL,2027,ACS Fall 2027,2027-08-22,2027-08-26,San Diego,"California, USA",,https://www.acs.org/events/acs-meetings/future-meetings.html,Confirmed,2026-09-11
CSC-2027,CSC,2027,IUPAC | CSC 2027 / 110th Canadian Chemistry Conference and Exhibition,2027-07-09,2027-07-16,Montréal,"Québec, Canada",Palais des congrès de Montréal,https://iupac2027.org/,Confirmed,2026-09-11
ASMS-2027,ASMS,2027,75th ASMS Conference,2027-06-06,2027-06-10,Houston,"Texas, USA",George R. Brown Convention Center,https://www.asms.org/conferences/annual-conference/future-annual-conferences,Confirmed,2026-09-11
CIFST-2027,CIFST,2027,CIFST Summit 2027,,,,,,https://cifst.ca/,TBD,2026-09-11
IFT-2027,IFT,2027,IFT FIRST 2027,2027-07-11,2027-07-14,Chicago,"Illinois, USA",McCormick Place,https://www.ift.org/ift-first-event/,Confirmed,2026-09-11
IMSC-2028,IMSC,2028,27th International Mass Spectrometry Conference,,,,,,https://www.imss.nl/,TBD,2026-09-11
LLTMS-2026,LLTMS,2026,38th Annual Tandem Mass Spectrometry Workshop,2026-12-02,2026-12-05,Lake Louise,"Alberta, Canada",Fairmont Chateau Lake Louise,https://www.lakelouisemsms.org/,Confirmed,2026-09-11
LLTMS-2027,LLTMS,2027,39th Annual Lake Louise Tandem Mass Spectrometry Workshop,2027-12-01,2027-12-04,Lake Louise,"Alberta, Canada",Fairmont Chateau Lake Louise,https://www.lakelouisemsms.org/,Confirmed,2026-09-11
RAFA-2026,RAFA,2026,12th International Symposium on Recent Advances in Food Analysis,2026-11-03,2026-11-06,Prague,Czech Republic,,https://www.rafa2026.eu/,Confirmed,2026-09-11
IUFOST-2028,IUFOST,2028,24th IUFoST World Congress of Food Science and Technology,,,,,,https://iufost.org/,TBD,2026-09-11
IAFP-2027,IAFP,2027,IAFP 2027 Annual Meeting,2027-07-18,2027-07-21,Kansas City,"Missouri, USA",Kansas City Convention Center,https://www.foodprotection.org/annualmeeting/,Confirmed,2026-09-11
NACRW-2027,NACRW,2027,NACRW 2027,2027-07-11,2027-07-14,San Antonio,"Texas, USA",Grand Hyatt San Antonio River Walk,https://nacrw.org/,Confirmed,2026-09-11
