Series Code,Conference Name,Short Name,Organizer,Categories,Official URL,Cadence,Active,Notes
AOAC,AOAC INTERNATIONAL Annual Meeting & Exposition,AOAC,AOAC INTERNATIONAL,"Analytical Chemistry, Food Safety, Food Analysis",https://www.aoac.org/meetings-and-events/future-meetings/,Annual,True,
ACS-SPRING,ACS Spring,ACS Spring,American Chemical Society,"Analytical Chemistry, General Chemistry, Food Chemistry",https://www.acs.org/events/spring.html,Annual,True,
ACS-FALL,ACS Fall,ACS Fall,American Chemical Society,"Analytical Chemistry, General Chemistry, Food Chemistry",https://www.acs.org/events/acs-meetings/future-meetings.html,Annual,True,
CSC,Canadian Chemistry Conference and Exhibition,CSC,Canadian Society for Chemistry / Chemical Institute of Canada,"Analytical Chemistry, General Chemistry",https://iupac2027.org/,Annual,True,2027 edition is jointly held with IUPAC World Chemistry Congress.
ASMS,ASMS Conference on Mass Spectrometry and Allied Topics,ASMS,American Society for Mass Spectrometry,"Mass Spectrometry, Metabolomics, Analytical Chemistry",https://www.asms.org/conferences/annual-conference/future-annual-conferences,Annual,True,
CIFST,CIFST Summit,CIFST,Canadian Institute of Food Science and Technology,"Food Science, Food Safety, Food Innovation",https://cifst.ca/,Annual,True,
IFT,IFT FIRST Annual Event and Expo,IFT FIRST,Institute of Food Technologists,"Food Science, Food Analysis, Food Innovation",https://www.ift.org/ift-first-event/,Annual,True,
IMSC,International Mass Spectrometry Conference,IMSC,International Mass Spectrometry Foundation,"Mass Spectrometry, Analytical Chemistry",https://www.imss.nl/,Biennial,True,
LLTMS,Lake Louise Tandem Mass Spectrometry Workshop,Lake Louise MS/MS,Lake Louise Tandem MS Workshop,"Mass Spectrometry, Metabolomics",https://www.lakelouisemsms.org/,Annual,True,
RAFA,Recent Advances in Food Analysis,RAFA,RAFA Organizing Committee,"Food Analysis, Food Safety, Analytical Chemistry, Mass Spectrometry",https://www.rafa2026.eu/,Biennial,True,Current official site is edition-specific.
IUFOST,IUFoST World Congress of Food Science and Technology,IUFoST,International Union of Food Science and Technology,"Food Science, Food Safety, Food Innovation",https://iufost.org/,Biennial,True,
IAFP,IAFP Annual Meeting,IAFP,International Association for Food Protection,"Food Safety, Food Microbiology, Food Science",https://www.foodprotection.org/annualmeeting/,Annual,True,
NACRW,North American Chemical Residue Workshop,NACRW,North American Chemical Residue Workshop,"Food Safety, Contaminants, Analytical Chemistry, Mass Spectrometry",https://nacrw.org/,Annual,True,
